conversation_id_str,created_at,favorite_count,full_text,full_text_comments,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Unnamed: 16,Stance,Explanation
2.000392181165732e+18,Mon Dec 15 02:27:16 +0000 2025,4049.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo https://t.co/UndQ2BCWIV,2.0005493301729403e+18,https://pbs.twimg.com/ext_tw_video_thumb/2000549274019672064/pu/img/ce7I5yotAVYG21F3.jpg,susipudjiastuti,qme,,0.0,0.0,0.0,https://x.com/undefined/status/2000549330172940603,1.846749067864625e+18,,,Neutral,"The comment only tags two users and shares a link without expressing any opinion, support, or opposition toward the content of the tweet."
2.000392181165732e+18,Mon Dec 15 05:02:02 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo ini termasuk korupsi gak sih bu...? sy pikir ya termasuk korupsi gak ada cukupnya mereka gak cuma mengelola juga merusak juga melebihi batasan zona yg ditetapkan.,2.000431131196621e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000431131196621162,7.379212272312197e+17,,,Support,"The comment aligns with the tweet’s critical view of the government’s handling of the disaster, suggesting that illegal logging or mismanagement constitutes corruption. It reinforces the tweet’s implication that current distinctions between legal and illegal operations are irrelevant, thereby supporting the original statement."
2.000392181165732e+18,Mon Dec 15 04:32:06 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Perekonomian daerah sangat tergantung dengan komoditi tersebut. Dulu banyak petani komoditi tersebut yg sangat terbantu dg komoditi tersebut akan tetapi sekarang banyak sekali corporate besar yg melakukan perluasan ugal ugalan skala besar dengan menggunakan segala cara.,2.000423598474027e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000423598474027067,7.252738955828797e+17,,,Neutral,"The comment does not directly agree or disagree with the tweet’s stance on illegal logging or President Prabowo’s actions. Instead, it offers a broader observation about the economic dependence on the commodity and criticizes large corporations for reckless expansion, without taking a clear position on the tweet’s main argument."
2.000392181165732e+18,Mon Dec 15 03:48:52 +0000 2025,2.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Ibu bapak terhormat tahun 96an di Sumatra bikin ruko Beton 4 lantai ditanah gambut pondasi tulang pake kayu ulin. Orang rimba mau nikahin anaknya menanam seribu anggrek yg belum pernah seumur hidup saya lihat di pulau Jawa. Kenapa kita ga ke ekstraksi flora fauna asli Indonesia,2.000412718042579e+18,,susipudjiastuti,in,,0.0,0.0,1.0,https://x.com/undefined/status/2000412718042579054,1.9762710196997325e+18,,,Neutral,"The comment does not directly support or oppose the tweet's criticism of President Prabowo’s approach to logging legality. Instead, it offers a reflective anecdote about past practices in Sumatra and questions why we aren’t focusing on extracting and appreciating Indonesia’s native flora and fauna. The tone is contemplative and slightly critical of present-day priorities, but not explicitly aligned with the tweet’s stance."
2.000392181165732e+18,Mon Dec 15 05:12:59 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo berapa persen rasa optimis ibu @susipudjiastuti terhadap harapan tersebut bisa terkabul? kalau saya 99% pesimis,2.000433885537297e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000433885537296840,404887623.0,,,Oppose,"The comment expresses 99% pessimism toward the hope mentioned, clearly opposing or doubting the optimistic outlook referenced in the tweet."
2.000392181165732e+18,Mon Dec 15 02:41:07 +0000 2025,13.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Banyak gunung yang dikeruk buu pembukaan lahan dihutan lindung pembukaan lahan banyak banget buuuu satwa satwa kasihan buuu terutama oranghutan gajah burungrangkong cendrawasih jalak bali etc,2.000395669010596e+18,,susipudjiastuti,in,,0.0,0.0,3.0,https://x.com/undefined/status/2000395669010596116,1.5372619585165804e+18,,,Support,"The comment aligns with the tweet's concern about environmental destruction and adds specific examples of deforestation and harm to wildlife, reinforcing the tweet’s critique of land clearing activities under President Prabowo’s watch. The comment does not oppose or question the tweet’s argument."
2.000392181165732e+18,Mon Dec 15 10:34:25 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Perusahaan ya sendiri ditertibkan ga yahh.... Padahal ada 13 pilik Prabowo. Mustahil.,2.0005147787716567e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000514778771656773,125982216.0,,,Oppose,"The comment questions whether Prabowo's own companies are being regulated, pointing out that there are 13 companies linked to him and implying that it would be impossible to ignore illegal operations among them. This challenges the tweet's premise that distinguishing between legal and illegal logging is irrelevant, suggesting instead that Prabowo should first address his own interests."
2.000392181165732e+18,Mon Dec 15 11:23:51 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Bu @susipudjiastuti mohon maaf tulisannya saya revisi sedikit https://t.co/o0s2JqjnZ9,2.0005272186620805e+18,https://pbs.twimg.com/media/G8NM5f-akAASuht.jpg,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000527218662080631,1.3052006467909468e+18,,,Neutral,The comment is primarily a request to revise the text of the tweet and does not express any clear endorsement or opposition towards the tweet's content or stance regarding President Prabowo. It focuses on editing rather than engaging with the issue.
2.000392181165732e+18,Mon Dec 15 08:56:26 +0000 2025,2.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Fokus kemanusiaan nya bantu korban bencana perbaikin infrastruktur ..pasti bapak prabowo tau lah siapa mafia mafianya naikan bencana nasional kok ribet amat ya.,2.00049012133922e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000490121339220215,1.1323124251081073e+18,,,Support,"The comment expresses support for President Prabowo by emphasizing the need to focus on humanitarian aid and infrastructure repair during the disaster, while also suggesting that identifying mafia figures involved should not be complicated. This aligns with the tweet’s critique of irrelevant actions, but the comment reinforces a positive, supportive stance toward Prabowo’s leadership."
2.000392181165732e+18,Mon Dec 15 06:03:19 +0000 2025,0.0,Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,@susipudjiastuti @prabowo Setuju banget ibu!!! Saya berharap tokoh2 masyarakat cendekiawan dan orang berpengaruh satu suara atas isu kritis ini spt bu Susi..,2.0004465536398623e+18,,susipudjiastuti,in,,0.0,0.0,0.0,https://x.com/undefined/status/2000446553639862343,119337778.0,,,Support,"The comment expresses strong agreement (""Setuju banget"") with the tweet's critical stance towards President Prabowo's approach to illegal logging and environmental damage, and praises the tweeter (Susipudjiastuti) for speaking out on the issue."
