Topic,Count,Name,Representation,Representative_Docs
-1,2878,-1_kerja_rakyat_prabowo_perintah,"['kerja', 'rakyat', 'prabowo', 'perintah', 'kalo', 'banget', 'bantu', 'udah', 'orang', 'dukung']","['suasana duka presiden prabowo bawa pesan optimisme hidup pulih kerja prabowo bangun rekonstruksi pascabencana', 'rendah hati kerja keras presiden prabowo hadir tiga kali prabowo bangun semangat rekonstruksi pascabencana negara tinggal diam sulit', 'medan sulit presiden prabowo kerja negara jalan prabowo bangun pesan utama rekonstruksi pascabencana pulih listrik baik jalan']"
0,2903,0_prabowo_perintah_rakyat_indonesia,"['prabowo', 'perintah', 'rakyat', 'indonesia', 'bantu', 'dukung', 'banget', 'nyata', 'kalo', 'negara']","['presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber', 'presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber', 'presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber']"
1,718,1_indonesia_bantu_menteri_kerja,"['indonesia', 'bantu', 'menteri', 'kerja', 'negara', 'orang', 'kalo', 'dukung', 'banget', 'udah']","['anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud', 'anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud', 'anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud']"
2,692,2_negara_nyata_orang_menteri,"['negara', 'nyata', 'orang', 'menteri', '', '', '', '', '', '']","['heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil']"
3,281,3_menteri_udah__,"['menteri', 'udah', '', '', '', '', '', '', '', '']","['dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham']"
4,233,4_udah_dukung_rakyat_,"['udah', 'dukung', 'rakyat', '', '', '', '', '', '', '']","['udah habis koruptor ngapain nunggu presiden politis emang rada rada', 'udah habis koruptor ngapain nunggu presiden politis emang rada rada', 'udah habis koruptor ngapain nunggu presiden politis emang rada rada']"
5,200,5_bantu_indonesia_nyata_,"['bantu', 'indonesia', 'nyata', '', '', '', '', '', '', '']","['reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs']"
6,146,6_udah_banget_bantu_perintah,"['udah', 'banget', 'bantu', 'perintah', 'orang', 'kalo', 'menteri', 'rakyat', 'indonesia', 'nyata']","['menlu blm malu kaliannn udah separsh diaceh ituuu', 'retno udah menlu kospleyer', 'menlu udah ngapain ted']"
7,118,7_orang_prabowo__,"['orang', 'prabowo', '', '', '', '', '', '', '', '']","['diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit']"
8,115,8_kerja_orang_banget_udah,"['kerja', 'orang', 'banget', 'udah', 'dukung', 'kalo', 'perintah', 'menteri', 'nyata', 'negara']","['salah tri kerja bagus kemenlu gimana kerja orang', 'salah tri kerja bagus kemenlu gimana kerja orang', 'salah tri kerja bagus kemenlu gimana kerja orang']"
