Topic,Count,Name,Representation,Representative_Docs
-1,2673,-1_presiden_jadi_aja_gak,"['presiden', 'jadi', 'aja', 'gak', 'ada', 'nya', 'masih', 'ga', 'ya', 'dia']","['bisa ngga kosongnya tuh gak kosong kosong banget gak punya tongkat nabi musa tapi punya kekuasaan pak wewenang lagian udah tau gak punya kekuatan ya gak usah sok kuat terima bantuan asing terakhir lansia itu nikmatin hidup ibadah bukan nyalonin diri jadi presiden', 'sambil yang lain masih rapat soal istilah presiden prabowo sudah bahas akses darurat karena prabowo pulihkan infrastruktur itu kerja bukan narasi tujuannya jelas biar rakyat cepat bangkit pasca bencana jalan dibuka mobilitas hidup lagi ekonomi ikut bangun', 'kalo nggak mau ya jangan jadi presiden']"
0,568,0_kerja_aku_ga_gue,"['kerja', 'aku', 'ga', 'gue', 'mama', 'buat', 'gua', 'gak', 'mau', 'ya']","['aku balik lagi kak posisi baru banget pulang kerja terus sama ortu mau di jodohin sama seseorang aku ga mau kak aku juga belum mau nikah katanya hidup itu pilihan tapi kenapa hidup ku ngga pengen kabur rasanya aku juga berhak menentukan pilihan ku sendiri', 'kalau kaya aku gak akan kerja sekarang bang buktinya aku masih kerja', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
1,513,1_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo kembali ke daerah terdampak banjir longsor kali ketiga prabowo bangun kembali rekonstruksi pascabencana segera pulihkan rumah listrik jalan ajak gotong royong', 'kunjungan ketiga presiden prabowo menegaskan prabowo bangun kembali kehidupan warga rekonstruksi pascabencana berjalan rumah listrik dan jalan dipulihkan bersama semangat gotong royong', 'untuk ketiga kalinya presiden prabowo hadir di lokasi banjir dan longsor menegaskan prabowo bangun kembali melalui rekonstruksi pascabencana rumah warga akan diganti listrik jalan dan infrastruktur dipulihkan cepat meski kondisi lapangan sangat berat gotong royong jadi kunci']"
2,144,2_indonesia_rakyat_jakarta_pada,"['indonesia', 'rakyat', 'jakarta', 'pada', 'merdeka', 'presiden', 'dpr', 'ke', 'jadi', 'sejarah']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
3,136,3_mana_rakyatnya_dia_jadi,"['mana', 'rakyatnya', 'dia', 'jadi', 'orang', 'presiden', 'ada', 'buahnya', 'bukan', 'itu']","['ini kalo aku disuruh jadi presiden dipaksa pun ga mau sih bobroknya ni negara udah sampe ditahap mustahil bisa bener pantes yg dinaikin sama partai partai itu orang orang rusak semua soalnya emang udah serusak ini astaghfirullah', 'ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'bener ni orangdaribcaranya ngomong aja keliatanga tau apa progress kerjaan anak buahnya bener cuma omon doang pak bapak tuh jd presiden bukan cuma buat pidato doang pak kesel asli']"
4,128,4_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'tinjau', 'man', 'meninjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat']"
5,99,5_penanganan_bencana_percepatan_terkendali,"['penanganan', 'bencana', 'percepatan', 'terkendali', 'terdampak', 'kesiapan', 'hambalang', 'pastikan', 'cepat', 'sumatera']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
6,92,6_wn_brutal_terancam_area,"['wn', 'brutal', 'terancam', 'area', 'bersenjata', 'tambang', 'emas', 'aksi', 'serang', 'kedaulatan']","['kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas', 'kedaulatan negara sudah terancam secara nyata aksi brutal wn china bersenjata serang tni di area tambang emas']"
7,79,7_huniankorbanbencana_hunian_memulihkan_terdampak,"['huniankorbanbencana', 'hunian', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
8,72,8_layaknya_inkompetensi_dino_betapa,"['layaknya', 'inkompetensi', 'dino', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
