Topic,Count,Name,Representation,Representative_Docs
-1,3269,-1_presiden_negara_prabowo_menlu,"['presiden', 'negara', 'prabowo', 'menlu', 'bantu', 'presiden prabowo', 'indonesia', 'kerja', 'bencana', 'menteri']","['heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil']"
0,2814,0_prabowo_presiden_presiden prabowo_pulih,"['prabowo', 'presiden', 'presiden prabowo', 'pulih', 'bangun', 'bencana', 'cepat', 'perintah', 'warga', 'jalan']","['pulih warga dampak presiden prabowo perintah cepat huni korban bencana insentif libur huniankorbanbencana', 'prabowo bangun presiden prabowo lokasi banjir longsor rekonstruksi pascabencana perintah ganti rumah rakyat pulih listrik jalan infrastruktur ajak gotong royong lewat sulit', 'lokasi bencana presiden prabowo prabowo bangun rumah ganti rekonstruksi pascabencana cepat infrastruktur listrik pulih']"
1,687,1_dgn_negara_sikap_bebas,"['dgn', 'negara', 'sikap', 'bebas', 'amerika serikat', 'serikat', 'tunggu', 'suara', 'menlu sugiono', 'jadi']","['heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil']"
2,467,2_kerja_hidup_anak_keras,"['kerja', 'hidup', 'anak', 'keras', 'org', 'keluarga', 'biar', 'bener', 'kek', 'doang']","['kucing saat kerja beliin ciken ayem fain gwencana ding ding ding hamin', 'mual kerja mulu', 'kerja']"
3,375,3_kompeten_layak_menteri_kritik,"['kompeten', 'layak', 'menteri', 'kritik', 'menlu', 'hilang', 'lingkung', 'mati', 'banjir', 'hidup']","['dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham']"
4,204,4_koruptor_habis_nunggu_ngapain,"['koruptor', 'habis', 'nunggu', 'ngapain', 'emang', 'presiden', 'amp', 'enak', 'sesuai', 'anjing']","['habis koruptor ngapain nunggu presiden politis emang rada rada', 'habis koruptor ngapain nunggu presiden politis emang rada rada', 'habis koruptor ngapain nunggu presiden politis emang rada rada']"
5,172,5_nyala_maju_moga_semangat,"['nyala', 'maju', 'moga', 'semangat', 'selamat', 'indonesia', 'gilir', 'isu', 'tindak', 'nuklir']","['selamat moga lang semangat nyala indonesia maju', 'selamat moga lang semangat nyala indonesia maju', 'selamat moga lang semangat nyala indonesia maju']"
6,157,6_jokowi_diskusi_tdk_berani,"['jokowi', 'diskusi', 'tdk', 'berani', 'cari', 'prabowo', 'presiden', 'tutup', 'staf', 'tuntut']","['diskusi diaspora amsterdam paris presiden tdk berani sih jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih jokowi kapolri allah prabowo jokowi sigit']"
7,116,7_trump_kecam_nuklir_bangsa,"['trump', 'kecam', 'nuklir', 'bangsa', 'pimpin', 'venezuela', 'atur', 'bukti', 'masuk', 'akal']","['pimpin bangsa adab keluar nyata kecam presiden trump culik presiden venezuela nicolas maduro presiden indonesia', 'pimpin bangsa adab keluar nyata kecam presiden trump culik presiden venezuela nicolas maduro presiden indonesia', 'pimpin bangsa adab keluar nyata kecam presiden trump culik presiden venezuela nicolas maduro presiden indonesia']"
8,109,8_retno_sesuai_coba_komentar,"['retno', 'sesuai', 'coba', 'komentar', 'venezuela', 'kerja', 'menlu', 'banding', 'indo', 'diplomasi']","['gara invasi donnie venezuela jauh dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi sila komentar kerja menlu sesuai amat manteman', 'gara invasi donnie venezuela jauh dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi sila komentar kerja menlu sesuai amat manteman', 'gara invasi donnie venezuela jauh dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi sila komentar kerja menlu sesuai amat manteman']"
