Topic,Count,Name,Representation,Representative_Docs
-1,2643,-1_presiden_aja_jadi_gak,"['presiden', 'aja', 'jadi', 'gak', 'ada', 'nya', 'ga', 'di', 'ke', 'masih']","['sambil yang lain masih rapat soal istilah presiden prabowo sudah bahas akses darurat karena prabowo pulihkan infrastruktur itu kerja bukan narasi tujuannya jelas biar rakyat cepat bangkit pasca bencana jalan dibuka mobilitas hidup lagi ekonomi ikut bangun', 'ih kenapa sih kalian kayak gt ke pak prabowo jangan jahat jahat jadi orang jadi presiden kan gak gampang jangan gitu ih kasian kontol kata gue emg pantes di kata katain kalo udah tua amp gak becus gak usah jadi presiden', 'nyatanya masih banyak daerah yg belum dapat bantuan layak dan daerah nya masih terisolir pernyataan itu bener atau cuma hoax buat presiden seneng aja bahkan bahlil aja ngakuin kalo ternyata dia belum sanggup nyalain semua listrik']"
0,530,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo kembali turun ke lokasi bencana untuk ketiga kalinya memastikan negara selalu hadir prabowo bangun kembali rumah warga listrik jalan dan infrastruktur melalui rekonstruksi pascabencana', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,484,1_kerja_aku_ga_gue,"['kerja', 'aku', 'ga', 'gue', 'mama', 'gua', 'mau', 'juga', 'gak', 'aja']","['dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah', 'kek mana rumah mau jalan kalo yg kerja aku doang urusan rumah ke aku makan ke aku sekarang utang juga ke aku jadi orang tua ga bisa mikir']"
2,237,2_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'kayaknya', 'malaysia', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
3,134,3_jadi_rakyatnya_dia_ga,"['jadi', 'rakyatnya', 'dia', 'ga', 'soalnya', 'ada', 'presiden', 'bukan', 'sih', 'tuh']","['kenapa sih presiden ky ga bisa mencari informasi sendiri kalo badan dan tenaganya ga kuat buat sekadar cari info sekecil inimah udah aja ongkang kaki menikmati hari tua tapi kyknya ga bisa ya bisnisnya kan lancar kalo dia yg ngatur negara', 'nangis bgt jir sampe mau nonton aja jujur ga sanggup kek kenapa ya mayoritas org indo tuh naif dan bodoh kita bisa loh punya presiden begini kok bsbsnya malah milih org yg jelas punya riwayat kriminal sih', 'kalau jadi wapres susah sih nder soalnya bapakmu bukan presiden tapi masih ada opsi jadi menteri tenang masih ada peluang kerja kok apalagi kalau kamu punya pengalaman']"
4,130,4_indonesia_rakyat_presiden_dpr,"['indonesia', 'rakyat', 'presiden', 'dpr', 'merdeka', 'indonesiaemas', 'republik', 'tapi', 'jadi', 'jakarta']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
5,129,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'meninjau', 'man', 'tinjau', 'semuatanganibencana', 'kebutuhan', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,91,6_penanganan_bencana_percepatan_terdampak,"['penanganan', 'bencana', 'percepatan', 'terdampak', 'terkendali', 'pastikan', 'kesiapan', 'sumatera', 'cepat', 'memanggil']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
7,82,7_huniankorbanbencana_hunian_memulihkan_terdampak,"['huniankorbanbencana', 'hunian', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
8,81,8_kerja_yu_capek_mulu,"['kerja', 'yu', 'capek', 'mulu', 'ntar', 'dikitdikit', 'rodi', 'bang', 'definisi', 'lagi']","['harus kerja ya', 'saatnya kerja kerja kerja', 'kerja']"
