Topic,Count,Name,Representation,Representative_Docs
-1,3064,-1_kerja_rakyat_prabowo_aceh,"['kerja', 'rakyat', 'prabowo', 'aceh', 'kalo', 'banget', 'bencana', 'perintah', 'orang', 'dukung']","['prabowo bangun pesan kuat presiden prabowo tiga kali lokasi bencana rekonstruksi pascabencana jalan medan berat negara hadir ganti rumah rakyat pulih harap', 'presiden tiga kali prabowo bangun konten kerja nyata rekonstruksi pascabencana gas lokasi susah rumah listrik jalan dibenerin bareng rakyat gotong royong bilang capek nyerah', 'presiden prabowo hadir tiga kali lokasi bencana bawa pesan prabowo bangun rakyat negara rekonstruksi pascabencana rumah listrik infrastruktur pulih cepat kuat gotong royong hadap sulit']"
0,2391,0_prabowo_bencana_perintah_rakyat,"['prabowo', 'bencana', 'perintah', 'rakyat', 'aceh', 'dukung', 'nyata', 'banget', 'menteri', 'negara']","['presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber', 'presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber', 'presiden prabowo waspada kuat indonesia kuat prabowo narasi sebut perintah hadir bencana sumatra presiden prabowo nilai anggap sumber']"
1,861,1_menteri_kerja_negara_banget,"['menteri', 'kerja', 'negara', 'banget', 'bencana', 'dukung', 'kalo', 'orang', 'udah', 'perintah']","['anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud', 'anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud', 'anggota dewan malaysia marah bantu negara anggap belah mata menteri indonesia toti kayak maksud']"
2,698,2_negara_nyata_orang_menteri,"['negara', 'nyata', 'orang', 'menteri', '', '', '', '', '', '']","['heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil', 'heran baca nyata venezuela standar sebut amerika serikat sungkan takut kritik kawan laku langgar hukum internasional menlu sugiono suara dunia tunggu pandang sbg main global south momen percaya sikap tentang invasi thdp iraq bebas aktif berani rian mitra dgn dgn negara mana jadi negara turut korban prinsipil']"
3,322,3_banget_kalo_udah_prabowo,"['banget', 'kalo', 'udah', 'prabowo', 'aceh', 'orang', 'dukung', 'kerja', 'negara', 'rakyat']","['asa presiden sby gin gin banget kaya', 'alit presiden banget allaahh', 'sdih banget tuhann becus bgt presiden']"
4,276,4_menteri_udah__,"['menteri', 'udah', '', '', '', '', '', '', '', '']","['dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham', 'dino kritik inkompetensi menlu betapa kompeten layak menteri ham']"
5,233,5_udah_dukung_rakyat_,"['udah', 'dukung', 'rakyat', '', '', '', '', '', '', '']","['udah habis koruptor ngapain nunggu presiden politis emang rada rada', 'udah habis koruptor ngapain nunggu presiden politis emang rada rada', 'udah habis koruptor ngapain nunggu presiden politis emang rada rada']"
6,200,6_nyata___,"['nyata', '', '', '', '', '', '', '', '', '']","['reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs', 'reynhard inggris super kriminal malu indonesia bantu hukum habib rizieq shihab hrs saudi arabia pojok nyata menko dubes saudi sungguh adil ironis selamat hrs ahlanwasahlanibhrs']"
7,119,7_orang_prabowo_perintah_negara,"['orang', 'prabowo', 'perintah', 'negara', '', '', '', '', '', '']","['diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit', 'diskusi diaspora amsterdam paris presiden tdk berani sih orang orang jokowi kapolri allah prabowo jokowi sigit']"
8,114,8_kerja_orang_banget_udah,"['kerja', 'orang', 'banget', 'udah', 'kalo', 'dukung', 'aceh', 'perintah', 'menteri', 'negara']","['salah tri kerja bagus kemenlu gimana kerja orang', 'dagang cilok kerja mau lusibuk kerja suruh suruh orang libur tentuin usaha dagang cilok bebas ambil libur', 'salah tri kerja bagus kemenlu gimana kerja orang']"
