Topic,Count,Name,Representation,Representative_Docs
-1,2829,-1_presiden_kerja_aja_jadi,"['presiden', 'kerja', 'aja', 'jadi', 'ada', 'gak', 'dia', 'bisa', 'ga', 'tapi']","['atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama', 'atas perintah bapak presiden tni ad bergerak cepat dalam upaya penanganan serta pemulihan bagi saudara kita yg tertimpa bencana hormat dan bangga bapak kasad tni beserta seluruh jajaran yg bahu membahu dan bekerjasama']"
0,516,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['prabowo bangun kembali untuk rakyat presiden prabowo kembali ke lokasi bencana menegaskan rekonstruksi pascabencana rumah warga diganti negara listrik dan jalan dipulihkan gotong royong jadi kekuatan', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,239,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,168,2_siapa_suruh_jadi_presiden,"['siapa', 'suruh', 'jadi', 'presiden', 'omon', 'lah', 'tua', 'lu', 'ya', 'dukung']","['lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden', 'suruh siapa jadi presiden']"
3,150,3_pak_jd_gak_aja,"['pak', 'jd', 'gak', 'aja', 'apa', 'tdk', 'ga', 'jg', 'kan', 'tp']","['makanyaaa klo dah tua lansia g usah jdi presiden dah lah pak mulai besok pensiun ajaaaa dirumah enak pak menikmati hari tua daripada capek ya kan saya sbg wni jg sangat bersyukur klo bpk besok mau pensiun', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
4,132,4_rakyatnya_dia_mana_jadi,"['rakyatnya', 'dia', 'mana', 'jadi', 'ga', 'orang', 'presiden', 'ada', 'bukan', 'ya']","['ya emg gampang cuma konteksnya beda ini pns yg kemarin bukan pns lha dikira sedikit bupatigubernur dan wakilnya itu dulu bukan pns banyak mantan sekda yg skrg jd pimpinan daerah tinggal ajukan pensiun atau resign bisa lsg nyalon presiden kalo emg ada parpol yg minat', 'ini aku suka beliau karena dia sangat mengayomi pokoknya ini orang kalo jadi presiden langsung maju dah negaranya hidup ume selain itu dia tuh suka berkebun ramah juga orangnya pokoknya ini minusnya ga nyata doang', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
5,126,5_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'langsung']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
6,112,6_indonesia_rakyat_merdeka_indonesiaemas,"['indonesia', 'rakyat', 'merdeka', 'indonesiaemas', 'dpr', 'presiden', 'mereka', 'sejarah', 'jadi', 'terbawah']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
7,93,7_penanganan_bencana_terdampak_percepatan,"['penanganan', 'bencana', 'terdampak', 'percepatan', 'terkendali', 'pastikan', 'cepat', 'sumatera', 'memanggil', 'berjalan']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana']"
8,80,8_huniankorbanbencana_hunian_memulihkan_terdampak,"['huniankorbanbencana', 'hunian', 'memulihkan', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
9,78,9_beradab_mengecam_nicolas_keluarkan,"['beradab', 'mengecam', 'nicolas', 'keluarkan', 'sebagian', 'maduro', 'bangsa', 'besar', 'menculik', 'pemimpin']","['sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia', 'sebagian besar pemimpin bangsa beradab sudah keluarkan pernyataan mengecam presiden as trump karena menculik presiden venezuela nicolas maduro presiden indonesia']"
10,72,10_ilegalmelihat_flora_relevan_masifnya,"['ilegalmelihat', 'flora', 'relevan', 'masifnya', 'memilah', 'kehancuran', 'kematian', 'gelondongan', 'legal', 'kerusakan']","['pak presiden saat ini setelah bencana banjir longsor lumpur kayu gelondongan sudah tidak relevan lagi memilah yg legal dan ilegalmelihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora', 'pak presiden saat ini setelah bencana banjir longsor lumpur kayu gelondongan sudah tidak relevan lagi memilah yg legal dan ilegalmelihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora', 'pak presiden saat ini setelah bencana banjir longsor lumpur kayu gelondongan sudah tidak relevan lagi memilah yg legal dan ilegalmelihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora']"
11,72,11_layaknya_inkompetensi_dino_betapa,"['layaknya', 'inkompetensi', 'dino', 'betapa', 'kompeten', 'ham', 'sedang', 'menjawab', 'anda', 'malah']","['pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham', 'pak dino sedang mengkritik inkompetensi menlu terus anda malah menjawab dengan menunjukkan betapa tidak kompeten dan layaknya seorang menteri ham']"
12,70,12_emanglah_menghabisi_radarada_politisi,"['emanglah', 'menghabisi', 'radarada', 'politisi', 'koruptor', 'bukannya', 'nunggu', 'tempat', 'ngapain', 'seharusnya']","['bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua', 'bukannya dia udah di tempat yang seharusnya bisa menghabisi koruptor ngapain nunggu jadi presiden politisi emanglah radarada semua']"
