Topic,Count,Name,Representation,Representative_Docs
-1,2889,-1_presiden_ada_aja_gak,"['presiden', 'ada', 'aja', 'gak', 'kerja', 'jadi', 'ga', 'nya', 'ya', 'tapi']","['dari diskusi dg diaspora di amsterdam dan paris semua bertanya ada apa dg presiden sehingga tdk berani bersihkan orangorang jokowi terutama kapolri jawaban saya hanya allah prabowo jokowi dan sigit yang tahu', 'kerja untuk hidup dan hidup untuk bekerja karena gk mungkin kan klo manusia gk kerja kecuali dia pewaris atau emang udah kaya raya dari lahir pasti enak walaupun gk kerja orang itu masih punya banyak uang', 'dari pada negara gak ada presiden']"
0,539,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'prabowo bangun kembali saat presiden turun untuk ketiga kalinya ke lokasi banjir dan longsor negara menegaskan rekonstruksi pascabencana rumah warga diganti listrik jalan dan infrastruktur dipulihkan cepat bersama rakyat bangkit gotong royong', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,242,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,211,2_jadi_siapa_suruh_presiden,"['jadi', 'siapa', 'suruh', 'presiden', 'tua', 'nya', 'ya', 'omon', 'mah', 'lagian']","['lah siapa suruh jadi presiden', 'suruh siapa jadi presiden', 'lah siapa suruh udh tua jadi presiden']"
3,129,3_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
4,117,4_indonesia_rakyat_dpr_merdeka,"['indonesia', 'rakyat', 'dpr', 'merdeka', 'indonesiaemas', 'jadi', 'presiden', 'tapi', 'sejarah', 'punya']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
5,103,5_rakyatnya_orang_mana_dia,"['rakyatnya', 'orang', 'mana', 'dia', 'jadi', 'presiden', 'ada', 'buahnya', 'soalnya', 'ya']","['ini kalo aku disuruh jadi presiden dipaksa pun ga mau sih bobroknya ni negara udah sampe ditahap mustahil bisa bener pantes yg dinaikin sama partai partai itu orang orang rusak semua soalnya emang udah serusak ini astaghfirullah', 'ya anak presiden ngomong enaknya saat bapaknya jadi orang nomor satu rakyatnya masih banyak makan nasi jagung sama gaplek karena tak mampu beli beras', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
6,95,6_penanganan_bencana_percepatan_terdampak,"['penanganan', 'bencana', 'percepatan', 'terdampak', 'terkendali', 'pastikan', 'kesiapan', 'cepat', 'hambalang', 'sumatera']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'semuatanganibencana bantuan presiden sudah cair untuk penanganan bencana ini menunjukkan kalau pemerintah sangat cepat dalam penanganan bencana', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
7,91,7_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['presiden prabowo kumpulkan menteri untuk membahas percepatan hunian korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
8,70,8_pak_lg_tdk_apa,"['pak', 'lg', 'tdk', 'apa', 'timmy', 'drs', 'menhan', 'klo', 'kami', 'jd']","['tunggu apa lg pak presiden pak menhan amp untuk basmi pengkhianat bangsa gerombolan s op tanpa kompromi lg awasgerombolansop', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
